[LOG] System::create                           : Header version = 2.02.15. Current version = 2.02.15.
[LOG] Manager::init                            : maxchannels = 256 studioflags = 00000006 flags 00000000 extradriverdata (nil).
[LOG] SystemI::init                            : Initialize version=20215 (134211), maxchannels=256, flags=0x00020000
[LOG] SystemI::setOutputInternal               : Setting output to 'FMOD PulseAudio Output'
[LOG] OutputPulseAudio::registerLib            : Loaded PulseAudio version 15.0.0.
[LOG] PulseAudio_EnumOutputCallback            : Found output device NAME:alsa_output.usb-Logitech_G733_Gaming_Headset-00.analog-stereo DESC:G733 Gaming Headset Estéreo analógico CHANNELS:2 RATE:48000.
[LOG] PulseAudio_EnumOutputCallback            : Found output device NAME:alsa_output.pci-0000_08_00.1.hdmi-stereo DESC:Navi 21/23 HDMI/DP Audio Controller Estéreo digital (HDMI) CHANNELS:2 RATE:48000.
[LOG] PulseAudio_EnumOutputCallback            : Found output device NAME:alsa_output.usb-fifine_Microphone_fifine_Microphone_REV1.0-00.analog-stereo DESC:fifine Microphone Estéreo analógico CHANNELS:2 RATE:48000.
[LOG] PulseAudio_EnumOutputCallback            : Found output device NAME:alsa_output.pci-0000_0a_00.4.iec958-stereo DESC:Starship/Matisse HD Audio Controller Estéreo digital (IEC958) CHANNELS:2 RATE:48000.
[LOG] PulseAudio_EnumInputCallback             : Found input device NAME:alsa_output.usb-Logitech_G733_Gaming_Headset-00.analog-stereo.monitor DESC:Monitor of G733 Gaming Headset Estéreo analógico CHANNELS:2 RATE:48000.
[LOG] PulseAudio_EnumInputCallback             : Found input device NAME:alsa_input.usb-Logitech_G733_Gaming_Headset-00.mono-fallback DESC:G733 Gaming Headset Mono CHANNELS:1 RATE:48000.
[LOG] PulseAudio_EnumInputCallback             : Found input device NAME:alsa_output.pci-0000_08_00.1.hdmi-stereo.monitor DESC:Monitor of Navi 21/23 HDMI/DP Audio Controller Estéreo digital (HDMI) CHANNELS:2 RATE:48000.
[LOG] PulseAudio_EnumInputCallback             : Found input device NAME:alsa_output.usb-fifine_Microphone_fifine_Microphone_REV1.0-00.analog-stereo.monitor DESC:Monitor of fifine Microphone Estéreo analógico CHANNELS:2 RATE:48000.
[LOG] PulseAudio_EnumInputCallback             : Found input device NAME:alsa_input.usb-fifine_Microphone_fifine_Microphone_REV1.0-00.analog-stereo DESC:fifine Microphone Estéreo analógico CHANNELS:2 RATE:48000.
[LOG] PulseAudio_EnumInputCallback             : Found input device NAME:alsa_input.usb-046d_Logitech_BRIO_DAB8C607-03.analog-stereo DESC:BRIO Ultra HD Webcam Estéreo analógico CHANNELS:2 RATE:48000.
[LOG] PulseAudio_EnumInputCallback             : Found input device NAME:alsa_output.pci-0000_0a_00.4.iec958-stereo.monitor DESC:Monitor of Starship/Matisse HD Audio Controller Estéreo digital (IEC958) CHANNELS:2 RATE:48000.
[LOG] PulseAudio_EnumInputCallback             : Found input device NAME:alsa_input.pci-0000_0a_00.4.analog-stereo DESC:Starship/Matisse HD Audio Controller Estéreo analógico CHANNELS:2 RATE:48000.
[LOG] Thread::initThread                       : Init FMOD stream thread. Affinity: 0x4000000000000003, Priority: 0xFFFF7FFB, Stack Size: 98304, Semaphore: No, Sleep Time: 10, Looping: Yes.
[LOG] FMOD_OS_Thread_Callback                  : Cannot set real-time thread priorities due to insufficient privileges
[LOG] Thread::initThread                       : Init FMOD mixer thread. Affinity: 0x4000000000000001, Priority: 0xFFFF7FFA, Stack Size: 81920, Semaphore: No, Sleep Time: 0, Looping: Yes.
[LOG] FMOD_OS_Thread_Callback                  : Cannot set real-time thread priorities due to insufficient privileges
[LOG] AsyncManager::init                       : manager 0x557a5dc2a488 isAsync 0 updatePeriod 0,02
[LOG] AsyncManager::init                       : done
[LOG] PlaybackSystem::init                     : 
[LOG] Thread::initThread                       : Init FMOD Studio sample load thread. Affinity: 0x4000000000000003, Priority: 0xFFFF7FFD, Stack Size: 98304, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] FMOD_OS_Thread_Callback                  : Cannot set real-time thread priorities due to insufficient privileges
[LOG] PlaybackSystem::init                     : done
[LOG] Thread::initThread                       : Init FMOD Studio bank load thread. Affinity: 0x4000000000000003, Priority: 0xFFFF7FFD, Stack Size: 98304, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] FMOD_OS_Thread_Callback                  : Cannot set real-time thread priorities due to insufficient privileges
[LOG] Manager::init                            : done.
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] PlaybackSystem::acquireMasterBus         : Setting master channel group format to 6
[LOG] Thread::callback                         : FMOD Studio bank load thread finished.
[LOG] Thread::callback                         : FMOD Studio sample load thread finished.
[LOG] LiveUpdate::release                      : 
[LOG] LiveUpdate::reset                        : Reset connection (reason Disconnected)
[LOG] Thread::callback                         : FMOD stream thread finished.
[LOG] Thread::callback                         : FMOD mixer thread finished.
[LOG] SystemI::close                           : Closed.
